,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg00036347,C2CD4D;LOC100132111,1,Body;5'UTR,N_Shore,0.8407409,0.3932659,0.44747502,1.234697e-08
cg08703872,C2CD4D;LOC100132111,1,Body;5'UTR,Island,0.8070800,0.2797300,0.52734995,5.164016e-08
,,,,,,,,
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg10504436,DERL3,22,Body;Body;Body,Island,0.7907461,0.48421583,0.3065302712,1.463060e-08
cg08369872,DERL3,22,5'UTR;1stExon;5'UTR;1stExon;1stExon;5'UTR,Island,0.4848637,0.04619800,0.4386657325,9.973608e-05
cg11417653,DERL3,22,TSS200;TSS200;TSS200,Island,0.5810305,0.08512519,0.4959053564,3.353376e-06
cg25940946,DERL3,22,TSS200;TSS200;TSS200,Island,0.6766913,0.10365550,0.5730358376,3.717855e-12
cg25037461,DERL3,22,TSS200;TSS200;TSS200,Island,0.6569565,0.17198830,0.4849682014,5.210613e-09
cg14774086,DERL3,22,TSS200;TSS200;TSS200,Island,0.7253910,0.19700129,0.5283896824,8.790756e-09
cg24120847,DERL3,22,TSS1500;TSS1500;TSS1500,Island,0.5340328,0.07555247,0.4584803162,4.434596e-05
cg18024487,DERL3,22,TSS1500;TSS1500;TSS1500,Island,0.6048264,0.14851795,0.4563084463,7.044405e-08
,,,,,,,,
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg20002177,DLX5,7,3'UTR,N_Shore,0.84583963,0.49510797,0.3507316585,2.578666e-07
cg09359114,DLX5,7,Body,N_Shore,0.81989266,0.18415956,0.6357330999,1.496784e-10
cg12041387,DLX5,7,Body,N_Shore,0.73890744,0.19226824,0.5466391992,2.724974e-10
cg08835113,DLX5,7,Body,N_Shore,0.78174085,0.21524665,0.5664942006,1.622138e-09
cg00400832,DLX5,7,Body,Island,0.70001199,0.12523509,0.5747769004,1.441831e-09
cg15339231,DLX5,7,Body,Island,0.72464727,0.20528866,0.5193586196,1.609988e-09
cg00503840,DLX5,7,Body,Island,0.73016651,0.24870545,0.4814610560,1.946647e-10
cg20377305,DLX5,7,Body,Island,0.74274570,0.14081675,0.6019289511,6.410967e-09
cg20080624,DLX5,7,Body,Island,0.74603172,0.23404712,0.5119845917,2.025447e-10
cg13462129,DLX5,7,Body,Island,0.70697239,0.22587865,0.4810937451,1.785812e-08
cg15732768,DLX5,7,Body,Island,0.71849434,0.26947663,0.4490177074,2.215425e-09
cg27016494,DLX5,7,Body,N_Shore,0.67184972,0.24713344,0.4247162791,8.803226e-08
cg17083494,DLX5,7,TSS1500,S_Shore,0.61031098,0.22948121,0.3808297739,1.568786e-06
cg04737114,DLX5,7,TSS1500,S_Shore,0.52798461,0.14877431,0.3792102931,2.906566e-06
cg17916835,DLX5,7,TSS1500,S_Shore,0.85447820,0.35910628,0.4953719146,2.293112e-09
cg20250426,DLX5,7,TSS1500,S_Shore,0.70077435,0.30668465,0.3940897048,1.315166e-08
cg19962750,DLX5,7,TSS1500,S_Shore,0.81945856,0.36288976,0.4565688022,5.480340e-08
cg13286614,DLX5,7,TSS1500,S_Shore,0.68804340,0.28463187,0.4034115226,1.046763e-07
cg05597836,DLX5,7,TSS1500,S_Shore,0.63902007,0.26714390,0.3718761702,8.449797e-07
,,,,,,,,
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg07788369,DLX6AS,7,Body,<NA>,0.61662620,0.25989809,0.3567281112,4.092480e-04
cg11113469,DLX6AS,7,Body,N_Shelf,0.77794574,0.38664897,0.3912967683,1.641995e-06
cg01778589,DLX6AS,7,Body,N_Shore,0.82659021,0.51536842,0.3112217903,1.141680e-06
cg08598654,DLX6AS,7,Body,Island,0.76092724,0.39033916,0.3705880815,6.930870e-07
cg21945930,DLX6AS,7,Body,Island,0.79584323,0.39604803,0.3997952056,8.389514e-08
cg10659805,DLX6AS,7,Body,Island,0.84471559,0.31841331,0.5263022790,6.379332e-08
cg16758800,DLX6AS,7,Body,S_Shore,0.80333768,0.38877303,0.4145646434,4.141526e-09
cg03774463,DLX6;DLX6AS,7,Body;Body,S_Shore,0.63999246,0.14387205,0.4961204100,1.230665e-06
cg16243019,DLX6;DLX6AS,7,Body;Body,S_Shore,0.58668876,0.13188190,0.4548068554,5.253052e-06
cg08745288,DLX6;DLX6AS,7,Body;Body,S_Shore,0.69430016,0.32383560,0.3704645600,5.161141e-07
cg22505086,DLX6;DLX6AS,7,Body;3'UTR,S_Shelf,0.56509080,0.21607726,0.3490135416,4.941863e-05
cg22616881,DLX6AS,7,Body,N_Shelf,0.58829223,0.11131596,0.4769762643,4.857300e-05
cg26251506,DLX6AS,7,Body,N_Shelf,0.63803252,0.17212516,0.4659073635,1.998476e-05
cg15199678,DLX6AS,7,Body,N_Shelf,0.65668365,0.21807184,0.4386118056,5.019244e-06
cg12055395,DLX6AS,7,Body,N_Shelf,0.73869081,0.21567315,0.5230176597,9.172541e-07
cg02530022,DLX6AS,7,Body,N_Shelf,0.71980835,0.22411063,0.4956977179,1.735448e-06
cg10205928,DLX6AS,7,Body,N_Shelf,0.66866645,0.26747644,0.4011900041,1.037343e-06
cg26075150,DLX6AS,7,TSS1500,N_Shore,0.87637467,0.46562929,0.4107453732,6.826517e-09
,,,,,,,,
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg06951565,GRM6,5,Body,N_Shore,0.80392652,0.26667780,0.5372487176,9.499336e-11
cg12363682,GRM6,5,Body,N_Shore,0.82310586,0.46937049,0.3537353716,1.582674e-08
cg21496785,GRM6,5,Body,N_Shore,0.89207418,0.58904525,0.3030289246,1.263169e-05
cg17867333,GRM6,5,TSS1500,S_Shore,0.83212707,0.33325092,0.4988761474,4.128117e-08
cg08432971,GRM6,5,TSS1500,S_Shore,0.76200694,0.41354339,0.3484635431,5.918984e-08
,,,,,,,,
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg26709285,KCNB1,20,1stExon;5'UTR,Island,0.73923296,0.24324344,0.495989517,4.863941e-12
cg10951120,KCNB1,20,TSS200,Island,0.62706677,0.10827332,0.518793445,1.574927e-09
cg11131532,KCNB1,20,TSS200,Island,0.54507751,0.07198409,0.473093417,6.317740e-07
cg12392473,KCNB1,20,TSS200,Island,0.74709885,0.14178621,0.605312640,1.450872e-09
cg01663603,KCNB1,20,TSS200,Island,0.61077164,0.09765803,0.513113609,9.880172e-08
cg12307787,KCNB1,20,TSS200,Island,0.59610312,0.09352127,0.502581850,4.417051e-07
,,,,,,,,
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg20804831,NUDT16P,3,TSS200;TSS200,Island,0.7106964,0.3874634,0.32323299,6.888395e-08
cg14845282,NUDT16P,3,TSS200;TSS200,Island,0.7744184,0.4715228,0.30289558,2.189841e-07
cg18413131,NUDT16P,3,TSS200;Body,Island,0.8426765,0.3535515,0.48912498,4.727113e-08
cg14654533,NUDT16P,3,Body;Body,Island,0.8122700,0.4014132,0.41085684,2.431829e-08
cg19962116,NUDT16P,3,Body;Body,Island,0.8194472,0.3461277,0.47331953,1.035115e-07
cg14709292,NUDT16P,3,Body;Body,Island,0.7920863,0.3584120,0.43367429,3.531367e-08
cg19831706,NUDT16P,3,Body;Body,S_Shore,0.5494309,0.2022903,0.34714067,1.605042e-08
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg17264513,NXPH1,7,Body,S_Shore,0.66027352,0.35711784,0.3031556774,2.043321e-04
cg01994275,NXPH1,7,Body,N_Shore,0.84972759,0.50819019,0.3415373919,2.332610e-07
cg11642377,NXPH1,7,Body,N_Shore,0.82616555,0.37244196,0.4537235889,2.837724e-07
cg08604097,NXPH1,7,Body,N_Shore,0.80829721,0.29085532,0.5174418888,1.433233e-07
cg07511564,NXPH1,7,Body,N_Shore,0.74255021,0.29997525,0.4425749613,4.011760e-08
cg23075337,NXPH1,7,Body,N_Shore,0.77373977,0.27855546,0.4951843031,9.663192e-08
cg10443049,NXPH1,7,Body,N_Shore,0.70313387,0.21476799,0.4883658727,3.791087e-07
cg12265623,NXPH1,7,Body,Island,0.70742224,0.23500143,0.4724208070,3.294889e-08
cg14094983,NXPH1,7,Body,Island,0.71621671,0.18644035,0.5297763595,1.758401e-08
cg15285250,NXPH1,7,Body,Island,0.77633135,0.23270233,0.5436290194,1.300939e-09
cg12597389,NXPH1,7,Body,Island,0.65826199,0.16242412,0.4958378698,1.476725e-07
cg06335867,NXPH1,7,Body,Island,0.81008334,0.21111973,0.5989636105,1.048202e-09
cg26170604,NXPH1,7,Body,Island,0.77694793,0.19406172,0.5828862162,1.117414e-10
cg21806015,NXPH1,7,Body,Island,0.72881250,0.24718932,0.4816231832,3.257230e-09
cg24529280,NXPH1,7,Body,Island,0.76695198,0.23381305,0.5331389339,2.436806e-09
cg01933308,NXPH1,7,Body,Island,0.79049216,0.24591226,0.5445799016,3.907273e-11
cg13611822,NXPH1,7,Body,Island,0.79773282,0.29871828,0.4990145325,8.124136e-10
,,,,,,,,
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg19301114,PARK2,6,Body;Body;Body,<NA>,0.13613890,0.57409414,-0.4379552411,1.084957e-09
cg23244761,PARK2,6,Body;Body;Body,<NA>,0.07637973,0.52264657,-0.4462668435,2.444061e-08
cg01386978,PARK2,6,Body;Body;Body,S_Shore,0.47589296,0.77687433,-0.3009813683,2.420570e-04
,,,,,,,,
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg01789499,PRDM8,4,5'UTR,Island,0.89921735,0.55330407,0.3459132805,1.379657e-08
cg09595050,PRDM8,4,5'UTR,Island,0.86844098,0.39304276,0.4753982175,7.306922e-11
cg14197071,PRDM8,4,5'UTR,Island,0.85611232,0.38700779,0.4691045315,2.568151e-10
cg27111250,PRDM8,4,5'UTR,S_Shore,0.78600962,0.40893107,0.3770785485,2.636450e-09
cg27639662,PRDM8,4,5'UTR,S_Shore,0.74001776,0.40493951,0.3350782543,4.105276e-10
cg21082141,PRDM8,4,5'UTR,S_Shore,0.82860760,0.50984847,0.3187591250,1.929512e-06
cg23874561,PRDM8,4,Body;Body,Island,0.37049405,0.04573751,0.3247565425,8.877595e-04
cg18235100,PRDM8,4,Body;Body,Island,0.54711544,0.16112480,0.3859906413,3.531480e-05
cg18954401,PRDM8,4,3'UTR;3'UTR,Island,0.67500434,0.35333631,0.3216680249,8.292354e-08
,,,,,,,,
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg08196553,SOX2OT,3,Body,Island,0.84036494,0.32613078,0.51423416,2.737906e-09
cg23978504,SOX2OT,3,Body,Island,0.78457510,0.19775841,0.58681668,6.537967e-12
cg03880173,SOX2OT,3,Body,Island,0.68495472,0.15703835,0.52791637,2.753642e-07
cg10263682,SOX2OT,3,Body,Island,0.66731924,0.14666962,0.52064962,4.866664e-07
cg24267283,SOX2OT,3,Body,Island,0.60845487,0.12350322,0.48495164,7.364445e-07
cg07304175,SOX2OT,3,Body,S_Shore,0.59656716,0.24345723,0.35310994,1.428144e-07
cg18562243,SOX2OT,3,Body,S_Shore,0.67461255,0.24224996,0.43236259,7.467217e-08
cg21453451,SOX2OT,3,Body,S_Shore,0.57969340,0.11099637,0.46869702,4.423307e-06
cg01530605,SOX2OT,3,Body,S_Shore,0.85357623,0.47738818,0.37618805,1.468807e-06
cg16276063,SOX2OT,3,Body,<NA>,0.76432249,0.38845979,0.37586270,3.944185e-04
cg08488945,SOX2OT,3,Body,<NA>,0.64984228,0.33363375,0.31620852,8.028432e-05
cg23165310,SOX2OT,3,Body,<NA>,0.78256391,0.46744585,0.31511806,1.433317e-04
cg24513480,SOX2OT,3,Body,N_Shelf,0.73549577,0.37196666,0.36352911,9.708155e-06
cg22920300,SOX2OT,3,Body,N_Shelf,0.57383806,0.26811548,0.30572258,4.397476e-03
cg16955889,SOX2OT,3,Body,S_Shore,0.49146546,0.18263878,0.30882668,2.287382e-03
,,,,,,,,
,,,,,,,,
,Gene,Chr,Distance,Relation_to_CGI,cases_mean,controls_mean,delta_beta,ttest_p.value
cg15435730,TFAP2D,6,TSS1500,N_Shelf,0.51235931,0.18027922,0.332080092,1.821281e-06
cg06370862,TFAP2D,6,TSS1500,N_Shore,0.84461479,0.32882709,0.515787698,9.621707e-09
cg17489695,TFAP2D,6,TSS1500,N_Shore,0.69561973,0.27521483,0.420404899,3.948327e-06
cg19404832,TFAP2D,6,TSS200,N_Shore,0.78658813,0.29943867,0.487149464,9.092856e-09
cg07625194,TFAP2D,6,Body,S_Shore,0.63159440,0.24936220,0.382232201,1.389250e-04
cg26680132,TFAP2D,6,Body,S_Shelf,0.65980029,0.24317869,0.416621604,2.427164e-06
cg21760402,TFAP2D,6,Body,N_Shore,0.82276567,0.30947352,0.513292146,6.918669e-09
cg05139788,TFAP2D,6,Body,N_Shore,0.81930111,0.33087202,0.488429094,2.722357e-09
cg17191462,TFAP2D,6,Body,N_Shore,0.83869218,0.25263319,0.586058982,4.773457e-10
cg20180370,TFAP2D,6,Body,N_Shore,0.79089374,0.20519772,0.585696026,2.202063e-10
cg04573397,TFAP2D,6,Body,N_Shore,0.83773745,0.30390155,0.533835898,1.067999e-09
