"","cg06419212","cg01123946","cg03172657","cg02691035","cg08316009","cg08935864","cg10398761","cg07215234","cg00623015","cg06615999","cg06934654","cg10512427","cg07944420","cg06245181","cg00759803","cg07706680","cg10453148","cg26436136","cg21450829","cg27324128","cg17701886","cg01720186","cg15510249","cg19998675","cg04468081","cg13779868","cg14426660","cg24068468","cg27367170","cg19301114","cg23244761","cg26872907","cg15858166","cg26691533","cg07433411","cg15780870","cg00055764","cg17766305","cg04812509","cg05339066","cg06118999","cg18192294","cg06981182","cg11861709","cg06079710","cg15972243","cg19323951","cg23930334","cg21515023","cg08295072","cg21612170","cg08934976","cg06942978","cg24908166","cg24131141","cg01256882","cg27298526","cg06560300","cg06674436","cg11832804","cg08994336","cg07728485","cg13995918","cg04524431","cg25518571","cg17765437","cg16750953","cg04777612","cg13162581","cg05647756","cg04273303","cg09227621"
"A1",0.939293459149694,0.874642347817641,0.93610161839519,0.856314079621944,0.879306415488978,0.891491054474832,0.966265340537918,0.977141435229295,0.892111704110395,0.961173412265989,0.952021820088846,0.917537235587529,0.931429999525172,0.935828793693541,0.914641198774088,0.984624457244727,0.953236854192668,0.296989451551946,0.366927148729283,0.178343017924598,0.040561158282755,0.075422357173041,0.055165842132079,0.070308609017297,0.283379345914189,0.272203864147239,0.127949531755616,0.059071577421804,0.046974545919088,0.126529124126657,0.062161307526273,0.040050789981095,0.922665583071788,0.882207351483069,0.980744681457423,0.990049184887411,0.948589890220436,0.129281840149733,0.798183361387326,0.746549806322294,0.819171346960214,0.872545173417941,0.858666757597532,0.749926776279584,0.838162198144461,0.844386291743776,0.019019917441327,0.017872969437318,0.930577816485782,0.659838137692007,0.722993404622467,0.944294166021198,0.585310125908649,0.80980764238854,0.567710404370139,0.797582557364691,0.937879594308934,0.975634197320221,0.983168376358007,0.895153256161121,0.971745928764127,0.930563213227661,0.936109734188349,0.955404638297583,0.849792603720098,0.833145216603957,0.714822778827715,0.987977214846036,0.985815935073084,0.981491194969039,0.61361229091301,0.600106725131232
"A2",0.897100020582678,0.922211945210089,0.960593680179689,0.899981525447212,0.913463939919727,0.915745196014847,0.977421294020288,0.983043066239464,0.917914623740533,0.951971233305635,0.972758251707896,0.920570727581514,0.903582542733312,0.917563743922122,0.934519390525252,0.984557282922871,0.818126292817171,0.731560677944353,0.655033983305654,0.336244849892328,0.100795014718513,0.136666849750121,0.109171680012968,0.114353494722843,0.518019688338764,0.424529683580876,0.16895255517759,0.08662706935057,0.043095861960305,0.171777767088994,0.085676482337668,0.033040582846109,0.822427900450361,0.845274110922686,0.95877788747604,0.985331674579261,0.831523852079495,0.212134281993029,0.848007788526578,0.851074660223338,0.845886266059223,0.92429450448599,0.861590119662124,0.800316920029181,0.893309847420663,0.782376484936197,0.129821093406789,0.192014205735394,0.932546397700043,0.937435075779855,0.934232618398564,0.968892020679528,0.93996521856648,0.977182528055748,0.953116304822014,0.904211303402562,0.959214599795195,0.983017788810005,0.988516806105148,0.981040909818995,0.977679354652611,0.979489357167353,0.985144760599344,0.946098226522346,0.951199173237312,0.939191631676513,0.909187036562518,0.982805704205358,0.977984590250414,0.800723830298564,0.373648508418411,0.533486897706377
"A3",0.950453248453748,0.93061253533113,0.961213490279861,0.930583945129013,0.882438701090693,0.888232685362427,0.964864579917542,0.978230251158347,0.878241467102484,0.846178229459,0.966124343237585,0.894259916789475,0.890351734509235,0.738168830440943,0.825494460208148,0.982341464375454,0.943852206647484,0.652299245077829,0.480912795014401,0.204459389125308,0.056235129047898,0.088464647663622,0.054115209877331,0.089396844821168,0.909496327978058,0.247449532846852,0.134994714288942,0.038242032399087,0.031528711960091,0.132782905843898,0.015951243875343,0.015447489310566,0.78172399589226,0.856617790218732,0.984804941693362,0.991424155238395,0.919704928849343,0.078926198964687,0.059622168292451,0.038255245300706,0.079901630985104,0.029708482396435,0.098050326735122,0.090939254465574,0.141038575298859,0.113960816764425,0.020498554886264,0.015993130777657,0.129781596267035,0.797078496870973,0.710691413300349,0.892911132765466,0.45481695283209,0.855461353617533,0.399796125865131,0.72495082213438,0.792982836605816,0.912004595755108,0.804141537911403,0.385054103883909,0.952297734272166,0.762075700158465,0.813571775931611,0.737942358665501,0.59359861096374,0.75014338346591,0.401371440170259,0.989726195895547,0.986247794423409,0.853581970600951,0.018834456498813,0.023607953434102
"A4",0.949737107865025,0.901855865838554,0.960604708002572,0.955645435348036,0.836188191887651,0.841501798868634,0.974337335471929,0.97863292130039,0.875478874391503,0.98568569566894,0.985558346639326,0.933012281703154,0.907379681420945,0.923663020127623,0.933609484396938,0.980938909236377,0.961172964417526,0.061349521046836,0.079090286332934,0.083041498265117,0.043385585399863,0.05415929357894,0.033684017312,0.083570685776662,0.090926147603333,0.306085129844003,0.141382390633327,0.033930985923489,0.035573944336918,0.068840519045598,0.014875905157352,0.011304328342026,0.789008937472162,0.86134116784218,0.987786926146557,0.989809766414554,0.958781129979929,0.056672252709176,0.298296024086011,0.400472019206962,0.390174153812312,0.198678918113325,0.593004876823255,0.463096044956719,0.692430485790868,0.648169369268919,0.018755593660833,0.023742486763555,0.969549355243747,0.943878017309041,0.795387464662102,0.973168249281046,0.941304387894316,0.97645768686386,0.962792339867087,0.852881890725015,0.961835623890356,0.972980180762426,0.98695329466937,0.984690071562527,0.98038976683923,0.98931472447272,0.981046655137274,0.952238777622743,0.966104446762628,0.91994633220661,0.936867941147248,0.987478905070177,0.98796769455846,0.98196174804749,0.916403015227305,0.93010818503367
"A5",0.946162362731347,0.953794693132802,0.958116054067198,0.955083478213981,0.921913297437284,0.950193065148901,0.975726148137325,0.986781417851122,0.972478340666268,0.981021964581718,0.984833679735298,0.948163785492959,0.939431110361967,0.964079518380859,0.918292322369537,0.988798561601344,0.94476077742894,0.768711764532712,0.57883235056567,0.325359740809943,0.091001415039946,0.088038278026435,0.057728631970741,0.100719667013327,0.262270471198677,0.343139678767669,0.10694619908332,0.061188931798674,0.037983505246955,0.284330548032771,0.240534579905161,0.087358564094115,0.864871482807432,0.818587917036787,0.986656247212004,0.990809025600292,0.886431668236096,0.155202785877698,0.045854489328089,0.042125550687868,0.051559993975555,0.030962419873674,0.055628114060664,0.09420301016406,0.118126140452972,0.12791366013184,0.051095572242927,0.510609936627989,0.969911876924017,0.948400177692176,0.920202652690934,0.97990810326154,0.976893389120511,0.979158865351675,0.97201824674844,0.898508814265889,0.963574148205001,0.98575541274639,0.984722270373505,0.973781947777036,0.978159285451286,0.977613444149127,0.985651130696224,0.97087140867881,0.924065007626879,0.913521150000658,0.807961990257066,0.990982976606076,0.989375240912714,0.963632818679716,0.369528411874854,0.539779483128009
"A6",0.921035138284947,0.883960517395569,0.948514062566805,0.950070842067686,0.928627467429384,0.933608643213774,0.969084824042456,0.98561356674919,0.962121805561159,0.982923511123733,0.974695637952401,0.946731139920039,0.929299736471237,0.921011976085471,0.93236081315275,0.983187019931827,0.956782198104983,0.192107727541725,0.256623974822445,0.145838330589511,0.055008049644012,0.09840980606155,0.039355530936808,0.076938715142032,0.10941727532046,0.220145788563321,0.155081459795422,0.024186820140018,0.034076336392067,0.104699291930925,0.017099528992478,0.019692223921358,0.947380340099899,0.893176449632395,0.982133440887059,0.988968389269176,0.921060249916494,0.135952851586418,0.942917605436742,0.936430451834579,0.929317601556194,0.966255973510357,0.945651309912995,0.851692259945341,0.935623038021669,0.887278416452719,0.018065569827373,0.016981420685799,0.972757415302186,0.932483534875266,0.954814418693104,0.961816382520477,0.849858414617658,0.976505991080926,0.96432059127755,0.912464456236091,0.967950643557255,0.980824539211146,0.989354462721524,0.988957317318252,0.97611697759974,0.987275481351184,0.984596163748166,0.95586611127421,0.979404217176587,0.933759525997944,0.841691718846997,0.665733048120649,0.605270194613877,0.441445878587629,0.534582683315018,0.583791813953951
"A7",0.935042007014755,0.911925807473319,0.946197541909924,0.876638818441807,0.921895539041269,0.941435559497583,0.969075611916056,0.97352450631945,0.968596471493122,0.978583145162906,0.975494921583534,0.944388530504416,0.928327365442712,0.918875073340309,0.954135035686691,0.983465165290144,0.892804973086067,0.811155302042973,0.755902447901816,0.485901261198585,0.162430094164068,0.160553698249391,0.086012219479225,0.119623559396573,0.705452519067216,0.524243819830082,0.161863843918471,0.147637697580987,0.090704388023689,0.524464287064849,0.452207694239307,0.204797886894506,0.703815071673745,0.668731508582917,0.668016885584288,0.677523186743558,0.85124575328342,0.255375815130837,0.050900607897343,0.024552875191035,0.060547613823893,0.027245433756565,0.057763909157529,0.085306127928377,0.081310088875331,0.160022340985193,0.290958415164456,0.669495009649028,0.940942525330198,0.935060427280629,0.927113620015246,0.970218524806096,0.935238728848136,0.973913504660725,0.941013241131049,0.884663010094634,0.956489842102909,0.980647241257382,0.985583472668716,0.954070544876407,0.975540154726137,0.979399904904827,0.980345160907909,0.960146617811478,0.947059851956112,0.751075748664278,0.897998959426167,0.985965343121667,0.984544687371876,0.749297626177274,0.530670513703964,0.58461476493633
"A8",0.908802168212341,0.742660185460737,0.920287831418804,0.829695732536611,0.913900566250031,0.924812337296673,0.967314782322062,0.95622116737383,0.956238517032055,0.886913980450814,0.876765271278633,0.923306655983582,0.907680973113532,0.872560271625597,0.879721664179284,0.976795825985969,0.958699178452437,0.237077953943228,0.336810907536766,0.146040624885943,0.033382241774155,0.031250962803314,0.028132630969219,0.042572088486169,0.304777312887446,0.196475295472895,0.084971131865986,0.089304995083105,0.055904555082751,0.107077124226446,0.134441677198403,0.06621155646666,0.671644202229321,0.574372814520287,0.620426179378346,0.673159529210032,0.682143107070589,0.076247689855803,0.21880277767449,0.54801386161711,0.476267475536744,0.423978220864944,0.581830346132672,0.511096404140345,0.722228103559416,0.733174980253802,0.016688183832618,0.023021224793444,0.973983820169059,0.82116749538688,0.757703555316721,0.922129049669031,0.525346110765281,0.786482842727499,0.499578792972378,0.747623925305641,0.661082029113088,0.977241712384641,0.983669687495462,0.686363886498559,0.970132527548126,0.795581582303934,0.842984953993736,0.96006105648365,0.945626366336098,0.763923914758219,0.586349909438823,0.984143129098271,0.982198245532108,0.861111798892597,0.58654208239114,0.624135593143732
"A9",0.903439671542497,0.90133466513647,0.952484736548647,0.965525574702712,0.923926845599429,0.932193592633086,0.970556821937091,0.976588236081576,0.951374873781418,0.980039853442401,0.974279360734992,0.934102137561209,0.914637174405911,0.950083035550673,0.939077431766704,0.975849841560427,0.946499797064256,0.2634833466298,0.101867892412594,0.085964833170126,0.036161573214191,0.060890696478736,0.030002560781091,0.057571719755994,0.120306754306177,0.493588919741295,0.095979908944662,0.125274928166513,0.058808716985506,0.076229836724925,0.018766796267262,0.014640467071043,0.906438299896481,0.721280592091925,0.986893001443576,0.990463199786461,0.93913458153594,0.225504393101993,0.759688687021946,0.924147298637286,0.896294826873531,0.87627480336301,0.931642133068197,0.817311513212041,0.89167274604096,0.935939143916963,0.024498770078369,0.028384369284593,0.896143071301648,0.892531652807334,0.938451703773918,0.973780119244045,0.97484174633034,0.977396459319992,0.980255172896631,0.854949551103564,0.955984898303799,0.981388487111072,0.988630425856028,0.981351151974372,0.978771526921684,0.984347099337199,0.9805702103128,0.967090547569474,0.933908177007205,0.932593102376619,0.937305253842888,0.987116810334123,0.984052045095617,0.979010521148627,0.018173427902041,0.038035825003124
"A10",0.95237424104124,0.930545708698365,0.952335544745769,0.915549096450387,0.858714993649658,0.897280762637783,0.965784670556586,0.986688014788639,0.641810702847797,0.757112731983895,0.980090910726854,0.931036969020917,0.937123294394205,0.908119023917131,0.939694189191342,0.979568924816489,0.935315705694837,0.219555134085972,0.416090479570176,0.223134999297006,0.088579879870376,0.097940077569888,0.060452181458323,0.110134939752817,0.287131282274324,0.400311001261068,0.128773615764554,0.02896886873882,0.040201294321675,0.212275729541877,0.129690739155863,0.060034891310584,0.785902316767374,0.862315965886151,0.987796020559994,0.992573755343281,0.620675448607249,0.285955856150087,0.509631405311696,0.356013651333706,0.556575514797032,0.31600742360631,0.671882806766197,0.464146603422249,0.513305799010784,0.559408500552067,0.015674336187919,0.013184922480974,0.922768237140672,0.89939510805423,0.782460458756865,0.955213148945866,0.571990568544142,0.798016386131258,0.553294044585894,0.850792428653281,0.94020797914383,0.972105720341028,0.990905726129882,0.871253328519066,0.969909620675931,0.928430693953012,0.961984250419186,0.945480759970892,0.845081036808855,0.873580569962581,0.735169861543304,0.972820306677824,0.975239972713886,0.77917701624277,0.465411016124026,0.606164729398044
"A11",0.933540754932153,0.900705341183517,0.953215284543442,0.960713297778776,0.911716047737263,0.938454599927692,0.959308554050326,0.986311189021968,0.971549116038009,0.983850461409084,0.977960462276554,0.945252394637803,0.932538506458319,0.980509627060072,0.968525516744417,0.214474500587443,0.97131888344971,0.249571705032546,0.321460209268576,0.208282033903444,0.076858375796324,0.108539931443718,0.057519987057252,0.118971466126813,0.132114939416669,0.423100807556222,0.165653246349845,0.02904467637931,0.035924182146315,0.158605607566158,0.028214550954815,0.017384659954406,0.939669005777925,0.887827638690083,0.989013594963896,0.991892777766416,0.918131832115673,0.138896307378787,0.895374068594375,0.868572507173743,0.875922532140131,0.898099270197454,0.899283478625741,0.862546309162422,0.911433374183102,0.861838539589484,0.019054169924733,0.017085219723973,0.959981848364014,0.946508022154252,0.938409199084624,0.972323988807015,0.973364710020475,0.981538334773993,0.939944932501611,0.94706727905907,0.944530788521262,0.965042297782342,0.988242276269291,0.985659049224835,0.969903521287767,0.98365185379089,0.979617028052183,0.953633454624116,0.981529681755321,0.956209276336148,0.953986421847481,0.983899395505628,0.978618884620567,0.95229846152433,0.640147039122913,0.584908659406865
"A12",0.438934847260759,0.453515117436738,0.217852442132691,0.365139375229345,0.352592642630025,0.481817669722892,0.470751350397715,0.432214350857967,0.429970872105741,0.417350694938303,0.437336294942504,0.416784440554576,0.412762737530278,0.308033273558306,0.533322454008858,0.509691675310738,0.369819748986006,0.641773772128291,0.734851364514747,0.354442843351104,0.100938276886353,0.131401189952464,0.086818311624306,0.102652615813917,0.914172947386912,0.552982374294071,0.136812636241956,0.173133547520478,0.131718229999647,0.313978410401339,0.338902933879938,0.218436491202243,0.715906064012736,0.709001668178397,0.759171216171216,0.780037480618163,0.601507287058017,0.717554770449697,0.071005845640718,0.047725544315543,0.110649989685127,0.032209212918302,0.151676729071959,0.141837796871397,0.171573709215657,0.188434038805406,0.018289980399838,0.018569455491735,0.52899087606061,0.566501412791081,0.432909193740228,0.577786598021646,0.431813963571789,0.549727213522591,0.252164602863973,0.560644600664114,0.414019610660718,0.569801764199956,0.538141512421135,0.502821226411851,0.560549220872385,0.608309661797453,0.573442163970483,0.615137232881878,0.55211433314374,0.573522269664621,0.616158850997983,0.580937344801948,0.513976212038987,0.473360935487297,0.02603240109186,0.026806470235708
"A13",0.725507162376054,0.63848380069025,0.490841525545909,0.593932810141287,0.71777441360952,0.601512715025743,0.792593160061583,0.664480226019818,0.538938151683351,0.632960517795281,0.68331769482494,0.584741987368407,0.706532825837327,0.457896156618429,0.700687339676193,0.705185452120272,0.649313924051868,0.667430925237969,0.639042783456235,0.328583023482512,0.086918183276837,0.153410779607937,0.071877941236114,0.109709214014365,0.882005920118979,0.465704895114438,0.149396144346769,0.086767440160071,0.064240871892439,0.308477112330799,0.2155373219001,0.104821622752133,0.48126868959227,0.542657509937528,0.654747295952963,0.696987266198242,0.741843256731383,0.219770119280646,0.076526731481069,0.027875339471783,0.072737535560269,0.024257769923784,0.100955751210085,0.094786943736423,0.114212329155496,0.160223215404326,0.01683991962409,0.016145338778107,0.443537993474775,0.662235659840786,0.459548144043991,0.673079600900032,0.409149043819582,0.581567223062322,0.278786559581382,0.533510833793509,0.341334703526902,0.5315013961417,0.53530654215217,0.429202540084161,0.61710178268278,0.595917065820431,0.529083719984025,0.341758551973851,0.487331263335585,0.510582185493802,0.62198805195317,0.928321541265306,0.949171164602146,0.671678019710669,0.024327974576413,0.018668827893432
"A14",0.906545202782063,0.897054497205986,0.964177916917207,0.885546585783713,0.830293655654204,0.766610732806693,0.969055563531589,0.971722830756567,0.758172543310903,0.860280330065291,0.963861632633095,0.91033476180498,0.908975287221974,0.833562496237078,0.850482916869298,0.980775412466927,0.90925260909699,0.393479339772075,0.294060596143577,0.110191905719398,0.02565330400118,0.032878996074942,0.030593245820222,0.040668791662083,0.183174888553543,0.086313798435405,0.085194264028428,0.060854988401477,0.051644017357913,0.079451546423001,0.063372085581572,0.029971529627903,0.862467698390846,0.720585508095589,0.870213802520026,0.91671055245344,0.784996613672756,0.069782549864952,0.032742933113046,0.053960254956892,0.0988634065572,0.03931534595462,0.106150567299609,0.113459439509589,0.174471710361256,0.234247159268608,0.020373906641059,0.021017531374342,0.942789418622071,0.605230229366925,0.794830052883669,0.907399450275234,0.428266058812201,0.902030208865795,0.712265809264945,0.746432584452935,0.901845092809345,0.981108835554915,0.984834383121565,0.871088563312704,0.980778663710053,0.856023182462216,0.962496026140458,0.961815725211738,0.790684109414639,0.860516885007314,0.55912895969249,0.968372052568092,0.973162148189315,0.832639863591022,0.366263983767635,0.520226694657199
