,cg02691035,cg20312916,cg24068468,cg15858166,cg18874394,cg06674436,cg13241681,cg05647756,target
TARGET-30-PALEVG,0.899981525447212,0.829528763175303,0.0866270693505701,0.822427900450361,0.659403709857978,0.9885168061051479,0.0375181576499835,0.8007238302985641,1
TARGET-30-PAPBJE,0.9155490964503871,0.648008277003835,0.0289688687388196,0.785902316767374,0.368948532066102,0.990905726129882,0.133064233010991,0.7791770162427699,1
TARGET-30-PAPRXW,0.885546585783713,0.759340597474383,0.0608549884014765,0.8624676983908459,0.39398020202357203,0.984834383121565,0.200699966342706,0.832639863591022,1
TARGET-30-PAPTLY,0.7540377305403609,0.735647125056746,0.0669028118620071,0.7331832712799521,0.302195770471464,0.986764831801164,0.6103691106399549,0.8118784896234921,1
TARGET-30-PAPTMM,0.9601852888877571,0.898415975132996,0.0765476266444853,0.9271090223608321,0.512238566468131,0.9839887963129309,0.0639089520818037,0.620620758998232,1
TARGET-30-PAPZYP,0.937994797884487,0.7390124324885501,0.0728686814238518,0.910016008514277,0.64641587856798,0.9886869165565741,0.201015576900909,0.9836247175275721,1
TARGET-30-PAPZYZ,0.8793257423694221,0.693664922159637,0.0512895260299576,0.8332371560477879,0.7076708173084441,0.8702796814488521,0.30477819483611496,0.8035243656517671,1
TARGET-30-PARIKF,0.883212297377723,0.857902686133105,0.0275990174408673,0.772604319381147,0.192120999141645,0.989246960732643,0.10518507147918099,0.9455080202600491,1
TARGET-30-PARNTS,0.3702815834043571,0.622580370468183,0.0831683812701158,0.7258972934976171,0.8160568353534899,0.45445860527484,0.244035466688052,0.8828380299242741,1
TARGET-30-PARSHT,0.8524282794130641,0.7373352635098008,0.17898240585673297,0.838417173692868,0.935047327139609,0.943353060572716,0.257769959936125,0.7368107774082729,1
TARGET-30-PASSRN,0.9377043348147971,0.7763682786818,0.0657222284974052,0.865862822001746,0.27947186134387897,0.986268644926793,0.0777450678467934,0.273368186413311,1
TARGET-30-PASWYR,0.8882439091611558,0.6999972779313199,0.0339876375232619,0.787207397401359,0.34291730415665195,0.9902002538105601,0.162453525476305,0.8855525785965408,1
TARGET-30-PASXIE,0.957585285824829,0.9643536299266509,0.0598401411727444,0.7750524112596942,0.19131081143337197,0.9874517807157521,0.286211546356871,0.938251268864186,1
TARGET-30-PATDWN,0.946218377897604,0.935077468604856,0.0536562068962838,0.842717776695157,0.155894852364357,0.986309386200088,0.0321219392234003,0.117667324411765,1
TARGET-30-PALZRG,0.9305839451290129,0.77241832114637,0.038242032399087,0.78172399589226,0.663398157876151,0.8041415379114029,0.0970177779944642,0.8535819706009509,1
TARGET-30-PAMMXF,0.9500708420676859,0.943577583445739,0.0241868201400177,0.947380340099899,0.112700875959532,0.989354462721524,0.241606725169681,0.44144587858762896,1
TARGET-30-PAMZGT,0.876638818441807,0.640571056416068,0.147637697580987,0.703815071673745,0.5490137731082639,0.985583472668716,0.590825919740117,0.749297626177274,1
TARGET-30-PAMZMG,0.829695732536611,0.552378103380778,0.0893049950831049,0.671644202229321,0.44898991072859995,0.983669687495462,0.247885831547535,0.8611117988925971,1
TARGET-30-PANUKV,0.965525574702712,0.8972929052110441,0.125274928166513,0.9064382998964808,0.1821244061941,0.9886304258560279,0.039890197342245,0.9790105211486271,1
TARGET-30-PAPCTS,0.9607132977787758,0.7504182468966809,0.02904467637931,0.9396690057779251,0.367659154400205,0.9882422762692908,0.11013288225105801,0.95229846152433,1
TARGET-30-PAPKWN,0.593932810141287,0.499782026188548,0.0867674401600714,0.48126868959227004,0.590576005069201,0.53530654215217,0.25671714740058804,0.6716780197106689,1
TARGET-30-PAPSEI,0.8265084729119019,0.641394600109256,0.0529306179531243,0.85427478237822,0.356584222291266,0.984479965789163,0.25906839246435603,0.943236774152672,1
TARGET-30-PAPTFZ,0.929009995613677,0.903659767673852,0.0401570881585709,0.8666702365469959,0.154646531832865,0.989742596640436,0.047664441995650994,0.8555715665650161,1
TARGET-30-PAPTIP,0.935696095413657,0.9508149352094001,0.12296326284223,0.8798888808033148,0.6617091120179389,0.9785001539876591,0.0365624733692206,0.9052942166194291,1
TARGET-30-PAPTLV,0.8760095711728909,0.755924751180761,0.10488946532012901,0.840555137637787,0.34493037704324697,0.9821410166933671,0.25312903374712803,0.9268745408329971,1
TARGET-30-PARABN,0.909655109849743,0.8271246426480171,0.0805220697225227,0.484652438066848,0.309242683873367,0.9844121189132379,0.157256863809612,0.7179150698450399,1
TARGET-30-PARSRJ,0.579199925868482,0.752929937576325,0.7052594558881881,0.7632035135277191,0.35040676201246096,0.484145239950651,0.15061921189892302,0.9817062651063271,1
TARGET-30-PASCLP,0.9423484595043679,0.941865572554635,0.0501671361547235,0.7688556410524671,0.0836933375679225,0.9861377905996349,0.130983144789699,0.951629629026181,1
TARGET-30-PASJYB,0.962214045561907,0.145876559803168,0.066974255567664,0.8848243028694358,0.28991559627151897,0.989270747197783,0.0907633080259405,0.9799405993413342,1
TARGET-30-PASNZU,0.9634001442059978,0.932781400145279,0.0465581515991802,0.9033630262245621,0.18748240430896698,0.988635660503769,0.116196993760789,0.940305373903024,1
TARGET-30-PATESI,0.959812954445085,0.9369363418518509,0.079517494242418,0.930374453912663,0.249011543255495,0.9870334214837049,0.0455587748808659,0.9841525598105351,1
TARGET-30-PATGWT,0.9477397350859029,0.9010485861132109,0.0296405898904178,0.9006178039590559,0.1828871675882,0.9890201870378059,0.0615895713443572,0.87792229228475,1
TARGET-30-PAIVZR,0.8563140796219442,0.7178026589457829,0.0590715774218035,0.9226655830717879,0.298935167222652,0.983168376358007,0.468652663317509,0.9814911949690391,1
TARGET-30-PALZZV,0.9556454353480358,0.947597316210883,0.0339309859234885,0.7890089374721619,0.0908782670687657,0.9869532946693701,0.6812154726580889,0.9819617480474899,1
TARGET-30-PAMCXF,0.955083478213981,0.684274071852362,0.0611889317986741,0.864871482807432,0.41646845071208594,0.984722270373505,0.26009857209630605,0.963632818679716,1
TARGET-30-PAPEFE,0.365139375229345,0.498879037708368,0.173133547520478,0.7159060640127359,0.799843046758855,0.5381415124211351,0.927486989284779,0.473360935487297,1
TARGET-30-PARDYU,0.9659764570504821,0.953508916420169,0.0351576877187652,0.9134560005899879,0.0631898806271558,0.9893863617864759,0.0319262240570481,0.882437391527928,1
TARGET-30-PARETE,0.876249911406755,0.833442843520506,0.0508198935893296,0.764185028308226,0.30720908801306396,0.4475047029641121,0.20775512490641002,0.847569327574847,1
TARGET-30-PARIRD,0.668023060508662,0.6173312609789351,0.106776523657453,0.838869606047975,0.8116455621570341,0.98355131788529,0.301862854621596,0.955719576014445,1
TARGET-30-PARNEE,0.9584789603078091,0.9155629113271341,0.0417588161335037,0.6274701433098879,0.131340725897476,0.9858032070491409,0.5724359954154129,0.385437363165568,1
TARGET-30-PARRBU,0.96142132062389,0.8255757467192459,0.0263970868742298,0.859571300044246,0.44888624117086606,0.9529404631639291,0.12095418706020099,0.7255882569541159,1
TARGET-30-PASDZJ,0.586390004687737,0.436020899907439,0.0521700648417396,0.763251423293722,0.650384527522422,0.9906203853412929,0.63616547886786,0.894840362285497,1
TARGET-30-PASVRU,0.9645535376973571,0.8901096448858119,0.0303472252832107,0.8641880403878429,0.12467097863288,0.99104614761703,0.07569099883234301,0.758487097831323,1
TARGET-30-PASWFB,0.96292765563796,0.888609649018359,0.181197936103079,0.884589246316158,0.148847129167325,0.987920745740725,0.23842921924584898,0.8364676348618659,1
TARGET-30-PATFXV,0.9654089214344691,0.658482213104468,0.0435331104472502,0.9070159374512479,0.13012997390858,0.9886294920632241,0.0707846231363282,0.726595161005913,1
TARGET-30-PALCBW,0.8436970574308342,0.267949497792962,0.13632308381353098,0.5992759027387211,0.864916094934279,0.9606256606892809,0.9731799110451721,0.694267281753542,0
TARGET-30-PALNVP,0.903178866252908,0.161070303430925,0.6072670771325649,0.402934069666327,0.34226445644668696,0.383758364706609,0.298574727730028,0.271207385317153,0
TARGET-30-PALUDH,0.18525655111204603,0.044964740528119,0.5630753253657951,0.24191053630129003,0.855527925924397,0.566659682883248,0.22543423499856502,0.100005436363435,0
TARGET-30-PALXTB,0.676444177775856,0.284419069791448,0.44772629306389505,0.316318589009979,0.8660143719133051,0.7440863144965899,0.288027197094911,0.360462317794936,0
TARGET-30-PANKFE,0.6567177031203709,0.3739011771446071,0.0641994040639364,0.5973178911266811,0.889733284683762,0.8609998438220949,0.8821214175772929,0.692015537890684,0
TARGET-30-PANNMS,0.22951483582787197,0.13958444209611903,0.475593322698092,0.47646884819433294,0.9224255542947959,0.48822077984522105,0.16946412023021198,0.32117212922979305,0
TARGET-30-PANRVJ,0.31359201273706,0.19147175037037,0.7557664835086291,0.7442344101212199,0.423347958824128,0.333169267991545,0.9729385693285241,0.26481075409598703,0
TARGET-30-PANUIF,0.275140711451089,0.28730479039004103,0.773650578858905,0.368801054049204,0.8906782884599191,0.32768245304078103,0.740127121246261,0.36193660881461703,0
TARGET-30-PAPEAV,0.33134204775894205,0.892415557766242,0.389571362814045,0.293025042727861,0.7116591942513509,0.461343613804219,0.9543665785883979,0.474511936135993,0
TARGET-30-PAPUAR,0.42588591078029,0.268845316669524,0.301013251439161,0.550483213640863,0.889917428424698,0.55761434375937,0.768634310539479,0.514616140412569,0
TARGET-30-PAPWUC,0.6498217081789289,0.0291688493571392,0.52101205808226,0.814808321187141,0.622702136132336,0.695791059971071,0.6293962094637429,0.956728219988569,0
TARGET-30-PARACS,0.294666461913317,0.11953807403635901,0.280940010563285,0.46986508575027297,0.913908095479788,0.30055760954108,0.25549756823037,0.30667952664478904,0
TARGET-30-PARDIW,0.430489427308978,0.606154446208669,0.742229571472674,0.3732265793493789,0.927561241594377,0.42383647398063207,0.9434623591026241,0.33024828387824295,0
TARGET-30-PARDVT,0.611528805571056,0.6089228060759909,0.531858512619759,0.25987964335498104,0.8989818861947649,0.43572432930135296,0.9247060485683609,0.329054861864799,0
TARGET-30-PAREGK,0.8926599320211421,0.611580796824475,0.701749863393601,0.6138985095254611,0.7771135869788169,0.516097606297349,0.39776126953848295,0.45035274262178293,0
TARGET-30-PARGUX,0.39656103019944505,0.0222032380862266,0.36481678864643297,0.5325129017373771,0.8429561187510641,0.0342322367564053,0.410409125820028,0.235679047688191,0
TARGET-30-PARHYL,0.890736010702505,0.395767953758569,0.5229354671191111,0.49788220366941793,0.8600933807920821,0.459240310397451,0.751589325877506,0.7666194786756271,0
TARGET-30-PARYNK,0.33275685818979306,0.545071003142002,0.510759894992624,0.6549448832444991,0.8862510110302719,0.56638818386165,0.8525707362363721,0.591258869106701,0
TARGET-30-PASAZJ,0.527196026705101,0.5064062598451741,0.24156727208250198,0.5556107798224179,0.9271678788384101,0.8331299938892521,0.979640086246738,0.702278806608363,0
TARGET-30-PASNEF,0.259761937313453,0.124766772280816,0.249523089199186,0.222154849070293,0.8371001598915401,0.46752489035358796,0.43936312448083403,0.17098840770586599,0
TARGET-30-PASTKC,0.253910798460315,0.6147284346604971,0.7568140951526651,0.31530725075015503,0.9085925596989721,0.608105639791176,0.37506169497085995,0.216129182563262,0
TARGET-30-PASUCB,0.945528755988631,0.8597870899946409,0.0580596241239651,0.927805610385321,0.222043084456022,0.988137036669351,0.0847278349667131,0.9702153991812159,0
TARGET-30-PASWIJ,0.32387928924964005,0.5767812782926159,0.574401491126078,0.383048938824746,0.8619943253915759,0.44364953926864,0.496714539641492,0.358030091552039,0
