,cg03172657,cg02691035,cg08316009,cg08935864,cg07215234,cg00623015,cg06934654,cg10512427,cg07944420,cg06245181,cg10453148,cg26436136,cg21450829,cg27324128,cg17701886,cg01720186,cg15510249,cg19998675,cg04468081,cg25888700,cg01891172,cg01828474,cg20312916,cg06775759,cg21655480,cg13779868,cg14426660,cg24068468,cg27367170,cg15858166,cg26691533,cg07433411,cg15780870,cg00055764,cg17766305,cg05339066,cg06118999,cg18192294,cg06981182,cg11861709,cg06079710,cg15972243,cg18874394,cg24420726,cg25690202,cg21515023,cg08295072,cg21612170,cg08934976,cg06942978,cg24908166,cg24131141,cg01256882,cg27298526,cg06560300,cg06674436,cg11832804,cg08994336,cg07728485,cg13995918,cg04524431,cg25518571,cg17765437,cg06904408,cg03341025,cg02153334,cg16750953,cg22612590,cg13241681,cg23320987,cg14161477,cg21561701,cg03479204,cg08699341,cg13461813,cg04777612,cg13162581,cg05647756
A1,0.960593680179689,0.899981525447212,0.913463939919727,0.915745196014847,0.983043066239464,0.917914623740533,0.972758251707896,0.920570727581514,0.903582542733312,0.917563743922122,0.818126292817171,0.731560677944353,0.655033983305654,0.336244849892328,0.100795014718513,0.136666849750121,0.109171680012968,0.114353494722843,0.518019688338764,0.940043460567405,0.91659245654565,0.932858140710934,0.829528763175303,0.792765556021197,0.913796371469533,0.424529683580876,0.16895255517759,0.08662706935057,0.043095861960305,0.822427900450361,0.845274110922686,0.95877788747604,0.985331674579261,0.831523852079495,0.212134281993029,0.851074660223338,0.845886266059223,0.92429450448599,0.861590119662124,0.800316920029181,0.893309847420663,0.782376484936197,0.659403709857978,0.886067781438369,0.925878162387499,0.932546397700043,0.937435075779855,0.934232618398564,0.968892020679528,0.93996521856648,0.977182528055748,0.953116304822014,0.904211303402562,0.959214599795195,0.983017788810005,0.988516806105148,0.981040909818995,0.977679354652611,0.979489357167353,0.985144760599344,0.946098226522346,0.951199173237312,0.939191631676513,0.976753269060917,0.791909252532412,0.96418108336749,0.909187036562518,0.191821757345665,0.037518157649984,0.800038370560297,0.795268693294712,0.116148500977682,0.182214748778891,0.055599099778515,0.241122211965222,0.982805704205358,0.977984590250414,0.800723830298564
A2,0.952335544745769,0.915549096450387,0.858714993649658,0.897280762637783,0.986688014788639,0.641810702847797,0.980090910726854,0.931036969020917,0.937123294394205,0.908119023917131,0.935315705694837,0.219555134085972,0.416090479570176,0.223134999297006,0.088579879870376,0.097940077569888,0.060452181458323,0.110134939752817,0.287131282274324,0.719408570157558,0.792055696397225,0.810872934208421,0.648008277003835,0.604504036024211,0.836730399792424,0.400311001261068,0.128773615764554,0.02896886873882,0.040201294321675,0.785902316767374,0.862315965886151,0.987796020559994,0.992573755343281,0.620675448607249,0.285955856150087,0.356013651333706,0.556575514797032,0.31600742360631,0.671882806766197,0.464146603422249,0.513305799010784,0.559408500552067,0.368948532066102,0.36732224477422,0.352697413902565,0.922768237140672,0.89939510805423,0.782460458756865,0.955213148945866,0.571990568544142,0.798016386131258,0.553294044585894,0.850792428653281,0.94020797914383,0.972105720341028,0.990905726129882,0.871253328519066,0.969909620675931,0.928430693953012,0.961984250419186,0.945480759970892,0.845081036808855,0.873580569962581,0.489835079771111,0.239415365792394,0.437049544091495,0.735169861543304,0.722695592593616,0.133064233010991,0.312893788775619,0.467464026040751,0.076076549991982,0.14260380658938,0.057173523177785,0.426703256955942,0.972820306677824,0.975239972713886,0.77917701624277
A3,0.964177916917207,0.885546585783713,0.830293655654204,0.766610732806693,0.971722830756567,0.758172543310903,0.963861632633095,0.91033476180498,0.908975287221974,0.833562496237078,0.90925260909699,0.393479339772075,0.294060596143577,0.110191905719398,0.02565330400118,0.032878996074942,0.030593245820222,0.040668791662083,0.183174888553543,0.909914840793754,0.897770760116214,0.887024639327995,0.759340597474383,0.729944094587398,0.883806765658364,0.086313798435405,0.085194264028428,0.060854988401477,0.051644017357913,0.862467698390846,0.720585508095589,0.870213802520026,0.91671055245344,0.784996613672756,0.069782549864952,0.053960254956892,0.0988634065572,0.03931534595462,0.106150567299609,0.113459439509589,0.174471710361256,0.234247159268608,0.393980202023572,0.330656735169123,0.316144881794142,0.942789418622071,0.605230229366925,0.794830052883669,0.907399450275234,0.428266058812201,0.902030208865795,0.712265809264945,0.746432584452935,0.901845092809345,0.981108835554915,0.984834383121565,0.871088563312704,0.980778663710053,0.856023182462216,0.962496026140458,0.961815725211738,0.790684109414639,0.860516885007314,0.503104522250087,0.563288853147872,0.508653747419221,0.55912895969249,0.256490010997776,0.200699966342706,0.246413090792178,0.459249419308513,0.058746086268486,0.161800265048557,0.073075714980025,0.221681311958541,0.968372052568092,0.973162148189315,0.832639863591022
A4,0.858408828311879,0.754037730540361,0.886821369215988,0.867554902190191,0.974453874507172,0.722324674416314,0.883035368278361,0.892345797088244,0.893335535805044,0.890183999308179,0.687893679823644,0.36649412122945,0.516562899867044,0.158040773978337,0.08119268136902,0.074652975782291,0.067321989636096,0.082472026721943,0.3220479592156,0.86618020264126,0.890706370690406,0.8923117823388,0.735647125056746,0.626044619637969,0.764717613318845,0.236422845418171,0.476810550165162,0.066902811862007,0.072052565476229,0.733183271279952,0.735366236295972,0.975844218533747,0.98474805350435,0.617775144635418,0.33447746359132,0.072560379564445,0.205599961356651,0.106985821362305,0.176462844111057,0.086389356258048,0.386291911380971,0.422490664989135,0.302195770471464,0.306371619867962,0.351875456578577,0.950433325739785,0.933445058781803,0.88314376999163,0.974892212504184,0.877674930893903,0.954894664185204,0.845984654588823,0.902322329182531,0.969821957741673,0.975140695410755,0.986764831801164,0.933716770598575,0.975677700199575,0.964778919554301,0.979978112436813,0.946745845166823,0.803739540432186,0.838266292342588,0.942827238746165,0.8649270788944,0.739432517409783,0.938694704088484,0.799937171646896,0.610369110639955,0.810136476365428,0.754285716337916,0.083514948278011,0.133124026567333,0.043965238268759,0.348926522850787,0.947736594536445,0.98184913342075,0.811878489623492
A5,0.966673391241021,0.960185288887757,0.933142626103747,0.935555245199047,0.972900339608474,0.976328290830756,0.912558627282677,0.932056465667641,0.924310181609451,0.933468301326429,0.959567004122146,0.877452095500943,0.682751027661364,0.226964512864705,0.048102145785518,0.060219879813317,0.039896023979082,0.036381176275805,0.198497498761196,0.981932388255691,0.935262484930326,0.975137978809606,0.898415975132996,0.88845174048564,0.559558924067284,0.138768833197802,0.101645700647408,0.076547626644485,0.051561585151554,0.927109022360832,0.901892581922292,0.984991084484593,0.989388872765586,0.916630354883407,0.250070536703114,0.376284725203664,0.310676870383121,0.141333642506801,0.550960026504739,0.464797401989794,0.739842868069199,0.70918227234792,0.512238566468131,0.819340711456429,0.835114082753461,0.982668083215799,0.936862074004795,0.954906661402058,0.974535379936668,0.896944713694292,0.975127643533551,0.98671392048144,0.878258219516705,0.967052501214237,0.987176829591709,0.983988796312931,0.978436771081703,0.981173275192431,0.982667805716301,0.980645260742663,0.966402399144476,0.929133425824505,0.909420254097901,0.966965363048073,0.915505252380477,0.928379161368132,0.909085510964146,0.111683972686033,0.063908952081804,0.931436071869212,0.983532305683997,0.960083323971961,0.978885431792724,0.90121696437357,0.178747528870322,0.953332776104795,0.942145184947228,0.620620758998232
A6,0.967135900047553,0.937994797884487,0.903637711589064,0.646553437085494,0.97867168253299,0.927088214882696,0.981150686026054,0.942788396971551,0.929256674163405,0.961252703473573,0.946178808999484,0.487374257187741,0.417436757025038,0.148231465350556,0.037443464251043,0.046518859670099,0.028697013279563,0.04809354032165,0.159001589312314,0.929610676448811,0.677120210841342,0.921130576631518,0.73901243248855,0.83877222510106,0.559596954801685,0.116160143447667,0.068944300448945,0.072868681423852,0.023407626966704,0.910016008514277,0.858656649392457,0.987617907240989,0.990118532255682,0.946443057403558,0.076507649043582,0.920010825791015,0.858609753371201,0.890571219724924,0.894686149282889,0.82468150132723,0.928751796775621,0.878984662283546,0.64641587856798,0.773527546130577,0.752704003964882,0.970505999111459,0.940846997506487,0.957414909147443,0.975012894517953,0.960243910586326,0.978608006607252,0.97589802490648,0.914866130153486,0.963850205389841,0.966076605761185,0.988686916556574,0.98008758496414,0.987906768227961,0.988693252298978,0.982837819927757,0.961936465858125,0.946448113441052,0.889025183974782,0.954347236648926,0.770066839664843,0.905490198189829,0.922783833983939,0.262716831938383,0.201015576900909,0.238628525067144,0.402886982584116,0.036717232104935,0.065712896120347,0.045408821911357,0.174506028863177,0.989577467646071,0.990133416422873,0.983624717527572
A7,0.936731879879515,0.879325742369422,0.871640820309057,0.8805427719713,0.971494951501243,0.901125301602383,0.966755764460025,0.903863232067969,0.896454407473716,0.917483602748305,0.898733133073261,0.275636788681337,0.308217683011303,0.1496817323201,0.073250097529484,0.068656237414594,0.045993497234969,0.055340565339278,0.154801719145779,0.922184107907098,0.711605584184339,0.921364572354221,0.693664922159637,0.823680168969122,0.61117547905809,0.268656492238984,0.133070293594825,0.051289526029958,0.053793164972922,0.833237156047788,0.814434043127239,0.959245076167404,0.980965076603335,0.929680441969928,0.202966449010647,0.472359760794258,0.427018637465212,0.25899728993979,0.588226967314111,0.431630673825078,0.633531070982353,0.516336504921697,0.707670817308444,0.937626118471862,0.958923555232246,0.52550322006628,0.694223226175031,0.716417382486028,0.881651619628327,0.340043106839798,0.737230440946982,0.34810889474121,0.653515962052298,0.52614843273346,0.828084694323769,0.870279681448852,0.5,0.877158087015397,0.787838856380599,0.653260592469105,0.871951233874894,0.411714149867122,0.661622354987775,0.435075590122993,0.282915848026267,0.355009805112201,0.539425052626862,0.514016585872442,0.304778194836115,0.610857482281056,0.674171489852895,0.135675305395634,0.264661620214833,0.127151643822569,0.447955508793006,0.937591533453979,0.956781253790417,0.803524365651767
A8,0.933491588195795,0.883212297377723,0.917841812118028,0.783923112804883,0.984429029109284,0.870955247269069,0.985895506554489,0.939133004961548,0.936093135230795,0.892127875662637,0.939050559028072,0.239684983501556,0.324251352289524,0.275902481011124,0.066432921671973,0.119313988792573,0.084044152947955,0.10201137895375,0.134178742958565,0.891790797090094,0.900986249501024,0.961951112974618,0.857902686133105,0.791124003164466,0.949843254495983,0.27119981696092,0.184033177532398,0.027599017440867,0.040543482341208,0.772604319381147,0.875623050650973,0.982048881318608,0.988042073506161,0.902674072664187,0.119738781967569,0.494574308996136,0.573186036468662,0.197226372201511,0.815530271986383,0.604541296456165,0.814885607554989,0.677658596898773,0.192120999141645,0.191110409969409,0.219520966311964,0.926630290624299,0.640113028890697,0.715944849403471,0.931983182168085,0.24120804240541,0.816827019855087,0.810299263889674,0.659898183595486,0.531901213158404,0.973986872580131,0.989246960732643,0.884294424193275,0.97442015359146,0.940646730233791,0.806146234517583,0.917182735606635,0.923205233233489,0.936185821572008,0.461777798266435,0.094371253316462,0.361468648253375,0.733874336711783,0.568189706183588,0.105185071479181,0.202985843450729,0.199682171650004,0.024657987175669,0.035242078726001,0.018565310296916,0.295836755280682,0.988990061946814,0.98148986744071,0.945508020260049
A9,0.149619597702329,0.370281583404357,0.372551842424295,0.412537003617945,0.361908600952438,0.366778542757763,0.395296867097159,0.333541108901873,0.336318519240981,0.226095772220018,0.351315165091116,0.913998743088316,0.901248867913663,0.629624392019199,0.394886222968218,0.406082093951541,0.306000032240692,0.341985014223478,0.923892314491083,0.802204978519791,0.813523012413697,0.81503124390303,0.622580370468183,0.555425262169513,0.792046365585832,0.384517198931215,0.196714127621906,0.083168381270116,0.043811424990306,0.725897293497617,0.762183819186073,0.836006447690458,0.856925903479529,0.845853765337466,0.423710216974614,0.111516514486903,0.20137018550872,0.039723984581363,0.262151672342943,0.194858692252836,0.377604676254344,0.341956366978288,0.81605683535349,0.973922379364948,0.974248155688824,0.378173467659636,0.406438049344824,0.359557496783735,0.595622896651208,0.288389910036533,0.538446200836459,0.259250768515728,0.445777701329091,0.312847838046468,0.489243795426301,0.45445860527484,0.400777369617165,0.603113181519335,0.552853954467081,0.417420993966512,0.463281530275502,0.417045997145363,0.437323972399118,0.403377740382047,0.315894706924109,0.359227420094291,0.327279252267175,0.519511525547753,0.244035466688052,0.883117128789631,0.889219554660709,0.355574811140664,0.450698535674609,0.282612479379912,0.311802441545852,0.980042113288548,0.979897490492542,0.882838029924274
A10,0.890135796092814,0.852428279413064,0.908008548755082,0.936910426063009,0.980388022099569,0.947701930989536,0.92475183399231,0.915784859793281,0.910169317632685,0.944272492894173,0.931538366750812,0.788223385017371,0.667303034408165,0.279228176465576,0.096840027494432,0.196523114784482,0.082161949228928,0.125698901767344,0.701870753350955,0.851987463331817,0.876822801054316,0.843165237206976,0.737335263509801,0.643557468043347,0.857082004360314,0.651324375923399,0.247228914414711,0.178982405856733,0.108741406175471,0.838417173692868,0.807316629708162,0.976700663761255,0.988249749655307,0.894206886152688,0.437603851388424,0.749730247722519,0.762876269372144,0.768598367165581,0.854910102712476,0.672625757107457,0.805265333632246,0.64053617062764,0.935047327139609,0.982956951786597,0.984524893977527,0.873721553786984,0.831334337890989,0.880635531844736,0.926782623779419,0.866517651940285,0.960019052389263,0.89423416343048,0.888536119048792,0.883381425035151,0.949997695979313,0.943353060572716,0.665056940210901,0.961584892819402,0.823413793402428,0.95458606223171,0.8336223504261,0.781922785119255,0.829887283348376,0.908601645144597,0.594366031048242,0.691036992566419,0.855439965427049,0.539213748345529,0.257769959936125,0.743782192284922,0.987130219395097,0.862041540718465,0.892684375827112,0.887731652016755,0.47292578094541,0.971401289407819,0.973616168020585,0.736810777408273
