,TARGET-30-PALEVG,TARGET-30-PAPBJE,TARGET-30-PAPRXW,TARGET-30-PAPTLY,TARGET-30-PAPTMM,TARGET-30-PAPZYP,TARGET-30-PAPZYZ,TARGET-30-PARIKF,TARGET-30-PARNTS,TARGET-30-PARSHT,TARGET-30-PASSRN,TARGET-30-PASWYR,TARGET-30-PASXIE,TARGET-30-PATDWN,TARGET-30-PALZRG,TARGET-30-PAMMXF,TARGET-30-PAMZGT,TARGET-30-PAMZMG,TARGET-30-PANUKV,TARGET-30-PAPCTS,TARGET-30-PAPKWN,TARGET-30-PAPSEI,TARGET-30-PAPTFZ,TARGET-30-PAPTIP,TARGET-30-PAPTLV,TARGET-30-PARABN,TARGET-30-PARSRJ,TARGET-30-PASCLP,TARGET-30-PASJYB,TARGET-30-PASNZU,TARGET-30-PATESI,TARGET-30-PATGWT,TARGET-30-PAIVZR,TARGET-30-PALZZV,TARGET-30-PAMCXF,TARGET-30-PAPEFE,TARGET-30-PARDYU,TARGET-30-PARETE,TARGET-30-PARIRD,TARGET-30-PARNEE,TARGET-30-PARRBU,TARGET-30-PASDZJ,TARGET-30-PASVRU,TARGET-30-PASWFB,TARGET-30-PATFXV,TARGET-30-PALCBW,TARGET-30-PALNVP,TARGET-30-PALUDH,TARGET-30-PALXTB,TARGET-30-PANKFE,TARGET-30-PANNMS,TARGET-30-PANRVJ,TARGET-30-PANUIF,TARGET-30-PAPEAV,TARGET-30-PAPUAR,TARGET-30-PAPWUC,TARGET-30-PARACS,TARGET-30-PARDIW,TARGET-30-PARDVT,TARGET-30-PAREGK,TARGET-30-PARGUX,TARGET-30-PARHYL,TARGET-30-PARYNK,TARGET-30-PASAZJ,TARGET-30-PASNEF,TARGET-30-PASTKC,TARGET-30-PASUCB,TARGET-30-PASWIJ,TARGET-30-PASXHE,TARGET-30-PATCFL,TARGET-30-PALBFW,TARGET-30-PALHVD,TARGET-30-PALIIN,TARGET-30-PAMYCE,TARGET-30-PANBSP,TARGET-30-PANRHJ,TARGET-30-PANRRW,TARGET-30-PANZPV,TARGET-30-PAPBGH,TARGET-30-PAPHPE,TARGET-30-PAPKXS,TARGET-30-PAPSKM,TARGET-30-PAPTLD,TARGET-30-PAPUWY,TARGET-30-PARAHE,TARGET-30-PARBGP,TARGET-30-PARFWB,TARGET-30-PARGDJ,TARGET-30-PARKGJ,TARGET-30-PARSBI,TARGET-30-PARVME,TARGET-30-PARZIP,TARGET-30-PASATK,TARGET-30-PASCUF,TARGET-30-PASGPY,TARGET-30-PASKJX,TARGET-30-PASRFS,TARGET-30-PASSRS,TARGET-30-PASTCN,TARGET-30-PASUYG,TARGET-30-PATGLU,TARGET-30-PAITCI,TARGET-30-PAIVHE,TARGET-30-PALETP,TARGET-30-PALSAE,TARGET-30-PANWRR,TARGET-30-PANYGR,TARGET-30-PANZVU,TARGET-30-PAPBZI,TARGET-30-PAPVFD,TARGET-30-PAPVXS,TARGET-30-PARDUJ,TARGET-30-PARGKK,TARGET-30-PARNCW,TARGET-30-PARURB,TARGET-30-PARXLM,TARGET-30-PASFGG,TARGET-30-PASLGS,TARGET-30-PASMNT,TARGET-30-PASPER,TARGET-30-PASXRJ,TARGET-30-PASYPX,TARGET-30-PATDXC,TARGET-30-PATFCY,TARGET-30-PATHVK,TARGET-30-PATNKP
cg02691035,0.899981525447212,0.915549096450387,0.885546585783713,0.754037730540361,0.960185288887757,0.937994797884487,0.879325742369422,0.883212297377723,0.370281583404357,0.852428279413064,0.937704334814797,0.888243909161156,0.957585285824829,0.946218377897604,0.930583945129013,0.950070842067686,0.876638818441807,0.829695732536611,0.965525574702712,0.960713297778776,0.593932810141287,0.826508472911902,0.929009995613677,0.935696095413657,0.876009571172891,0.909655109849743,0.579199925868482,0.942348459504368,0.962214045561907,0.963400144205998,0.959812954445085,0.947739735085903,0.856314079621944,0.955645435348036,0.955083478213981,0.365139375229345,0.965976457050482,0.876249911406755,0.668023060508662,0.958478960307809,0.96142132062389,0.586390004687737,0.964553537697357,0.96292765563796,0.965408921434469,0.843697057430834,0.903178866252908,0.185256551112046,0.676444177775856,0.656717703120371,0.229514835827872,0.31359201273706,0.275140711451089,0.331342047758942,0.42588591078029,0.649821708178929,0.294666461913317,0.430489427308978,0.611528805571056,0.892659932021142,0.396561030199445,0.890736010702505,0.332756858189793,0.527196026705101,0.259761937313453,0.253910798460315,0.945528755988631,0.32387928924964,0.150149603944979,0.487507476020434,0.505790099741886,0.269428717414872,0.909532510069387,0.140737293025072,0.978212772921816,0.825458860063499,0.625052495562118,0.438163115464672,0.97586502511151,0.797387291778578,0.964687870833598,0.618512147953414,0.470713570246759,0.287898465544098,0.644759045884113,0.165176845305238,0.169393479417384,0.38587812159172,0.513264785539631,0.547020929082374,0.286984196027925,0.249324088518313,0.160922726985839,0.159568133479763,0.268850667483445,0.243299161994882,0.220740488361202,0.950008471501897,0.193056217995148,0.487925413561347,0.420170500297656,0.863144714461091,0.51771160014559,0.424157259510751,0.813944358038959,0.738342435512866,0.119264760515807,0.665670500114669,0.315169991247885,0.336982344598639,0.263448374576678,0.367412410978949,0.863763988482335,0.559538316262783,0.696536337073961,0.862130921457962,0.450796303931664,0.322718341314612,0.052522600070139,0.713920617562243,0.509730694704407,0.51688659968808,0.596633710334661,0.54427907959769,0.402871827262334,0.439557821202728
cg27324128,0.336244849892328,0.223134999297006,0.110191905719398,0.158040773978337,0.226964512864705,0.148231465350556,0.1496817323201,0.275902481011124,0.629624392019199,0.279228176465576,0.155322700958389,0.172447956765053,0.086244631657442,0.087716760895382,0.204459389125308,0.145838330589511,0.485901261198585,0.146040624885943,0.085964833170126,0.208282033903444,0.328583023482512,0.146653173083831,0.161115070847102,0.12526436313928,0.095266669404368,0.072210574735468,0.216195462818255,0.133993738289871,0.127575433599678,0.149948643195693,0.056380559010841,0.10968629818814,0.178343017924598,0.083041498265117,0.325359740809943,0.354442843351104,0.198504763545706,0.573196717939079,0.163792976318486,0.203895320876524,0.182407313341948,0.454173086823129,0.209480967425711,0.062405318990149,0.167903388574313,0.376643285438741,0.721726032542441,0.25406346876024,0.388663444517945,0.490933071589492,0.811759150732762,0.810606989531637,0.720531885696172,0.213367869144359,0.591605152921624,0.446990376768485,0.880120814947021,0.758646222311676,0.266604193257249,0.349766937485406,0.566216212159805,0.141168013723162,0.780321916013814,0.370368560784119,0.880220565784595,0.851135646255323,0.169737558386185,0.695285344423851,0.386382359011892,0.551964311482732,0.468658489225846,0.302243920499773,0.27570583461316,0.88242521223534,0.162899381039088,0.258679762473674,0.744628293635031,0.625185865692383,0.406048339234508,0.625189365264864,0.298195663762535,0.349472734560814,0.697405354120378,0.377569548115526,0.632160982295497,0.929377902617903,0.887957879947886,0.257358841031298,0.682653780329465,0.667822008600008,0.606987144907998,0.759125136869403,0.738448407932292,0.310482188399779,0.803398896462509,0.855726583766529,0.844904579204757,0.200602596873623,0.851697547557387,0.129351729735374,0.643040163628716,0.760991312804152,0.660391936332575,0.721122859142052,0.1501708683969,0.405598360070554,0.488101755187335,0.845786613635637,0.376187593305288,0.909749420371488,0.617966600102355,0.41919820110245,0.780173163027448,0.772589901604749,0.248471354254079,0.26401987180324,0.729509585746567,0.398053209976785,0.920681935432088,0.337009588766431,0.623055514098782,0.551620680917041,0.245153584937451,0.759072780016006,0.219445852302406,0.915274236238069
cg20312916,0.829528763175303,0.648008277003835,0.759340597474383,0.735647125056746,0.898415975132996,0.73901243248855,0.693664922159637,0.857902686133105,0.622580370468183,0.737335263509801,0.7763682786818,0.69999727793132,0.964353629926651,0.935077468604856,0.77241832114637,0.943577583445739,0.640571056416068,0.552378103380778,0.897292905211044,0.750418246896681,0.499782026188548,0.641394600109256,0.903659767673852,0.9508149352094,0.755924751180761,0.827124642648017,0.752929937576325,0.941865572554635,0.145876559803168,0.932781400145279,0.936936341851851,0.901048586113211,0.717802658945783,0.947597316210883,0.684274071852362,0.498879037708368,0.953508916420169,0.833442843520506,0.617331260978935,0.915562911327134,0.825575746719246,0.436020899907439,0.890109644885812,0.888609649018359,0.658482213104468,0.267949497792962,0.161070303430925,0.044964740528119,0.284419069791448,0.373901177144607,0.139584442096119,0.19147175037037,0.287304790390041,0.892415557766242,0.268845316669524,0.029168849357139,0.119538074036359,0.606154446208669,0.608922806075991,0.611580796824475,0.022203238086227,0.395767953758569,0.545071003142002,0.506406259845174,0.124766772280816,0.614728434660497,0.859787089994641,0.576781278292616,0.082988495429339,0.027417753931582,0.291823211690387,0.905491358934485,0.263301804079346,0.029437325725372,0.691668929677986,0.820987314935978,0.038196173707632,0.243467362151721,0.783232419074607,0.034498379740468,0.488472545156851,0.032282427528694,0.359877206164109,0.507383325723605,0.751950100046355,0.042967640942515,0.018790004593048,0.156608441723344,0.039420455594822,0.790392322791227,0.022184376753859,0.57944226577904,0.800557888247637,0.026407313593791,0.140710649334286,0.811132775557886,0.062762164830389,0.813836333040934,0.025593697017001,0.854681282597499,0.033198671543533,0.683129896244065,0.032067142697856,0.230675002859249,0.659196160000472,0.589522419437459,0.596977340381153,0.698178781814189,0.806593558476551,0.025551806038368,0.036498488354884,0.166152147975626,0.067718504173122,0.42450759673625,0.558466377476235,0.615107122692813,0.308437273086742,0.649452900886684,0.941991671764719,0.21521999394808,0.231577116237106,0.146526683964094,0.585789444327514,0.71393151605888,0.254138198207082,0.867877016972621
cg24068468,0.08662706935057,0.02896886873882,0.060854988401477,0.066902811862007,0.076547626644485,0.072868681423852,0.051289526029958,0.027599017440867,0.083168381270116,0.178982405856733,0.065722228497405,0.033987637523262,0.059840141172744,0.053656206896284,0.038242032399087,0.024186820140018,0.147637697580987,0.089304995083105,0.125274928166513,0.02904467637931,0.086767440160071,0.052930617953124,0.040157088158571,0.12296326284223,0.104889465320129,0.080522069722523,0.705259455888188,0.050167136154724,0.066974255567664,0.04655815159918,0.079517494242418,0.029640589890418,0.059071577421804,0.033930985923489,0.061188931798674,0.173133547520478,0.035157687718765,0.05081989358933,0.106776523657453,0.041758816133504,0.02639708687423,0.05217006484174,0.030347225283211,0.181197936103079,0.04353311044725,0.136323083813531,0.607267077132565,0.563075325365795,0.447726293063895,0.064199404063936,0.475593322698092,0.755766483508629,0.773650578858905,0.389571362814045,0.301013251439161,0.52101205808226,0.280940010563285,0.742229571472674,0.531858512619759,0.701749863393601,0.364816788646433,0.522935467119111,0.510759894992624,0.241567272082502,0.249523089199186,0.756814095152665,0.058059624123965,0.574401491126078,0.078232607574433,0.120281004056427,0.328417210507513,0.858910181505094,0.675411797008697,0.292988351519012,0.917275213451157,0.323312924143503,0.56079411447329,0.644689673638943,0.026811573678087,0.407652140807013,0.884369993541696,0.563694710133725,0.277345237739142,0.336477957384548,0.073487712011658,0.882171988484386,0.83852369565158,0.130867537602612,0.673735303083373,0.86944569811718,0.798062325578297,0.454269231867745,0.68014405056362,0.860002174578629,0.832532149181623,0.887012408925908,0.824611060886783,0.832305038474626,0.619297836091896,0.215073856329697,0.058924020249077,0.194901144826572,0.421649457556634,0.522534439445808,0.319977286213951,0.530631802831715,0.710133918670685,0.527216561855894,0.575432617949903,0.839335038207752,0.491095358916812,0.420103211303975,0.733491094084783,0.558978388391414,0.067275611764997,0.044649934262618,0.348895510684647,0.135665955228049,0.846261320526601,0.110143211269355,0.109286184340335,0.503873431770255,0.24873872336155,0.631401444571162,0.786644850243159,0.694125374417746
cg15858166,0.822427900450361,0.785902316767374,0.862467698390846,0.733183271279952,0.927109022360832,0.910016008514277,0.833237156047788,0.772604319381147,0.725897293497617,0.838417173692868,0.865862822001746,0.787207397401359,0.775052411259694,0.842717776695157,0.78172399589226,0.947380340099899,0.703815071673745,0.671644202229321,0.906438299896481,0.939669005777925,0.48126868959227,0.85427478237822,0.866670236546996,0.879888880803315,0.840555137637787,0.484652438066848,0.763203513527719,0.768855641052467,0.884824302869436,0.903363026224562,0.930374453912663,0.900617803959056,0.922665583071788,0.789008937472162,0.864871482807432,0.715906064012736,0.913456000589988,0.764185028308226,0.838869606047975,0.627470143309888,0.859571300044246,0.763251423293722,0.864188040387843,0.884589246316158,0.907015937451248,0.599275902738721,0.402934069666327,0.24191053630129,0.316318589009979,0.597317891126681,0.476468848194333,0.74423441012122,0.368801054049204,0.293025042727861,0.550483213640863,0.814808321187141,0.469865085750273,0.373226579349379,0.259879643354981,0.613898509525461,0.532512901737377,0.497882203669418,0.654944883244499,0.555610779822418,0.222154849070293,0.315307250750155,0.927805610385321,0.383048938824746,0.286110598237776,0.64241001449208,0.332094215631928,0.368724975382037,0.418543931728674,0.145894792626513,0.927134661280087,0.523502306811035,0.371591971294331,0.414872149438983,0.706275810317314,0.282188150940997,0.53072112415015,0.44811333944288,0.487945281981111,0.239640297468952,0.495439838214418,0.237132918922655,0.399795834154352,0.300946057152343,0.52169113599395,0.48176279346205,0.305894409420835,0.503538704135803,0.367710583375538,0.403681284153257,0.851645849024814,0.488411403027355,0.314467760502989,0.811909965446021,0.225777647034418,0.678840564449385,0.36275536121074,0.433525539978196,0.374250560033138,0.511688542032646,0.601777025173998,0.633765605024874,0.439098176547585,0.377275875954283,0.78310813155446,0.284104390375148,0.304972835599432,0.283621232397878,0.344340554178197,0.665676598993037,0.759084237398008,0.569398399165101,0.530012387188776,0.359821968599689,0.486890599042669,0.508183864609222,0.523899485130445,0.506872456545335,0.486337122189294,0.681949914756813,0.600843728623184,0.744886689993437
cg17766305,0.212134281993029,0.285955856150087,0.069782549864952,0.33447746359132,0.250070536703114,0.076507649043582,0.202966449010647,0.119738781967569,0.423710216974614,0.437603851388424,0.162102379869639,0.277451370667193,0.083612481489408,0.038613212992939,0.078926198964687,0.135952851586418,0.255375815130837,0.076247689855803,0.225504393101993,0.138896307378787,0.219770119280646,0.054666364551087,0.094176533770625,0.142646479664681,0.197195669873911,0.144408276142675,0.543883265541055,0.105572221562699,0.465644530915411,0.107056275638168,0.374826903928646,0.10183836889876,0.129281840149733,0.056672252709176,0.155202785877698,0.717554770449697,0.053423111888561,0.485372273152626,0.310631155701405,0.169790854851074,0.177861757732062,0.337074705066614,0.176510410028998,0.176229914286519,0.064907455814967,0.151817867600362,0.067896424632208,0.639160077727045,0.614735316696412,0.364493467061038,0.897308613605665,0.67819427740823,0.773193039667,0.085259269464359,0.509911363500906,0.656620456812258,0.134744462851418,0.702762103871557,0.463645632171836,0.158120738502234,0.821547999455736,0.134799787035851,0.735670427051886,0.532030046025245,0.499115313072015,0.197783169553459,0.126717660677152,0.729266423773085,0.418224220178482,0.478718855029574,0.383173503775514,0.933574357811355,0.615470833450546,0.892616848490442,0.795447207286693,0.107778006873833,0.43479784447827,0.441064037565511,0.104968859722113,0.549445682508181,0.80346056049566,0.733543119537175,0.739984452980878,0.421868556999076,0.330338727035196,0.888158056386054,0.698586769905487,0.090186080289935,0.855147859734955,0.558570462850619,0.869553126236083,0.274718371238272,0.743430945257821,0.204261691335203,0.826144418541912,0.524947938758154,0.5685420680392,0.865498938230255,0.854079965059544,0.727548389932274,0.498690179958782,0.111568538722587,0.786443310811747,0.713532251823711,0.707501039577885,0.624809543346598,0.129713866694441,0.142981829378434,0.766727090333579,0.910868258557463,0.870205195487223,0.607182307769265,0.464398220837832,0.681273704187973,0.312520804192517,0.066220099731703,0.686282471625219,0.576037439403828,0.73924915450385,0.241463398339934,0.350522240121414,0.641189305577903,0.857572579756534,0.742868523545087,0.485421437773554,0.120358738513241
cg18874394,0.659403709857978,0.368948532066102,0.393980202023572,0.302195770471464,0.512238566468131,0.64641587856798,0.707670817308444,0.192120999141645,0.81605683535349,0.935047327139609,0.279471861343879,0.342917304156652,0.191310811433372,0.155894852364357,0.663398157876151,0.112700875959532,0.549013773108264,0.4489899107286,0.1821244061941,0.367659154400205,0.590576005069201,0.356584222291266,0.154646531832865,0.661709112017939,0.344930377043247,0.309242683873367,0.350406762012461,0.083693337567923,0.289915596271519,0.187482404308967,0.249011543255495,0.1828871675882,0.298935167222652,0.090878267068766,0.416468450712086,0.799843046758855,0.063189880627156,0.307209088013064,0.811645562157034,0.131340725897476,0.448886241170866,0.650384527522422,0.12467097863288,0.148847129167325,0.13012997390858,0.864916094934279,0.342264456446687,0.855527925924397,0.866014371913305,0.889733284683762,0.922425554294796,0.423347958824128,0.890678288459919,0.711659194251351,0.889917428424698,0.622702136132336,0.913908095479788,0.927561241594377,0.898981886194765,0.777113586978817,0.842956118751064,0.860093380792082,0.886251011030272,0.92716787883841,0.83710015989154,0.908592559698972,0.222043084456022,0.861994325391576,0.696121493514838,0.911399427455574,0.909827790279313,0.887071158327171,0.882859716772186,0.885438568989006,0.91967374219093,0.73361075887222,0.919536602391833,0.870454981567471,0.259372303913308,0.927615691632983,0.9596935466925,0.856120029547574,0.822674453120081,0.844391322387777,0.812466998979969,0.854054529266858,0.907945741660395,0.820922050899829,0.688429760511166,0.501363970486602,0.923980904600264,0.760387781576372,0.903217938159368,0.469731561267995,0.348036604930209,0.891614473223223,0.692394007136238,0.887902150353214,0.896380384374021,0.831084052453634,0.659716098789612,0.676692290930202,0.896461702074543,0.916231860440852,0.875697580214933,0.661575353611882,0.272356204442645,0.640144262644808,0.275099754730486,0.960381648663227,0.906811497071339,0.885693415393507,0.880488906785282,0.86724591175265,0.454795475968569,0.783213600556699,0.909780387871841,0.90647990253771,0.876766610643249,0.749204221488288,0.853336139170783,0.917630293302738,0.867898260873282,0.798665288762794,0.828026204187658,0.687692060860762
cg06674436,0.988516806105148,0.990905726129882,0.984834383121565,0.986764831801164,0.983988796312931,0.988686916556574,0.870279681448852,0.989246960732643,0.45445860527484,0.943353060572716,0.986268644926793,0.99020025381056,0.987451780715752,0.986309386200088,0.804141537911403,0.989354462721524,0.985583472668716,0.983669687495462,0.988630425856028,0.988242276269291,0.53530654215217,0.984479965789163,0.989742596640436,0.978500153987659,0.982141016693367,0.984412118913238,0.484145239950651,0.986137790599635,0.989270747197783,0.988635660503769,0.987033421483705,0.989020187037806,0.983168376358007,0.98695329466937,0.984722270373505,0.538141512421135,0.989386361786476,0.447504702964112,0.98355131788529,0.985803207049141,0.952940463163929,0.990620385341293,0.99104614761703,0.987920745740725,0.988629492063224,0.960625660689281,0.383758364706609,0.566659682883248,0.74408631449659,0.860999843822095,0.488220779845221,0.333169267991545,0.327682453040781,0.461343613804219,0.55761434375937,0.695791059971071,0.30055760954108,0.423836473980632,0.435724329301353,0.516097606297349,0.034232236756405,0.459240310397451,0.56638818386165,0.833129993889252,0.467524890353588,0.608105639791176,0.988137036669351,0.44364953926864,0.137747836428935,0.793556278287996,0.457790765858655,0.5406759027626,0.456198982442861,0.494278704389487,0.587047912397757,0.399316606512566,0.986673942598294,0.571086250240093,0.98985629211287,0.732180207573251,0.104692414892387,0.986809544751321,0.527826719156706,0.476677114251969,0.281656394033589,0.143465620623786,0.282157569887316,0.213954903448459,0.144332424747565,0.498333730167332,0.59442678442564,0.346944867473725,0.547043927841515,0.67804242250803,0.269996930064418,0.276906796922116,0.185153276619068,0.162170728856838,0.211592432742899,0.745537591131484,0.440030172883962,0.591222359179888,0.485369394803013,0.472778951629731,0.460892888707169,0.58034662533394,0.452128303504878,0.258956724459995,0.425411258009871,0.24411625758548,0.787598102771719,0.40407584848318,0.326537954414398,0.451354977441503,0.98800887718182,0.666249336089201,0.580738504306291,0.355002924989045,0.020194822776132,0.527559267933682,0.528870566024218,0.417620670766735,0.537561014606703,0.974084356967197,0.247690737768245,0.080457741400262
cg13241681,0.037518157649984,0.133064233010991,0.200699966342706,0.610369110639955,0.063908952081804,0.201015576900909,0.304778194836115,0.105185071479181,0.244035466688052,0.257769959936125,0.077745067846793,0.162453525476305,0.286211546356871,0.0321219392234,0.097017777994464,0.241606725169681,0.590825919740117,0.247885831547535,0.039890197342245,0.110132882251058,0.256717147400588,0.259068392464356,0.047664441995651,0.036562473369221,0.253129033747128,0.157256863809612,0.150619211898923,0.130983144789699,0.090763308025941,0.116196993760789,0.045558774880866,0.061589571344357,0.468652663317509,0.681215472658089,0.260098572096306,0.927486989284779,0.031926224057048,0.20775512490641,0.301862854621596,0.572435995415413,0.120954187060201,0.63616547886786,0.075690998832343,0.238429219245849,0.070784623136328,0.973179911045172,0.298574727730028,0.225434234998565,0.288027197094911,0.882121417577293,0.169464120230212,0.972938569328524,0.740127121246261,0.954366578588398,0.768634310539479,0.629396209463743,0.25549756823037,0.943462359102624,0.924706048568361,0.397761269538483,0.410409125820028,0.751589325877506,0.852570736236372,0.979640086246738,0.439363124480834,0.37506169497086,0.084727834966713,0.496714539641492,0.408830610182288,0.931320289512878,0.464051017643834,0.21810166918861,0.459379357708097,0.116194040579388,0.97100709934443,0.411469148306318,0.493455643896219,0.912434820943364,0.616733739280512,0.207293708142749,0.631113691830305,0.548131197767632,0.428200259202897,0.82443068858558,0.877497167549279,0.970403684812488,0.480619761220542,0.284886133697882,0.454722844100058,0.683298915865955,0.57983741271597,0.282594388327016,0.363325490224847,0.892552307748676,0.953101160592152,0.43010203480409,0.647932160058185,0.975671945192145,0.925679850055619,0.922169898252687,0.351677520147326,0.404535689638592,0.349294234280802,0.850310889354362,0.963102613343572,0.718359907311775,0.130861158844928,0.611764517548655,0.616730067502235,0.714604068484887,0.271655272329706,0.373064484402733,0.609898966472293,0.963136984528032,0.273647253032548,0.734712569340157,0.868250088152233,0.791829232192566,0.818199696707223,0.971935586511347,0.514634658386661,0.308213813399707,0.647136877315358,0.633442959092882,0.961834178383436,0.958551827179205
cg05647756,0.800723830298564,0.77917701624277,0.832639863591022,0.811878489623492,0.620620758998232,0.983624717527572,0.803524365651767,0.945508020260049,0.882838029924274,0.736810777408273,0.273368186413311,0.885552578596541,0.938251268864186,0.117667324411765,0.853581970600951,0.441445878587629,0.749297626177274,0.861111798892597,0.979010521148627,0.95229846152433,0.671678019710669,0.943236774152672,0.855571566565016,0.905294216619429,0.926874540832997,0.71791506984504,0.981706265106327,0.951629629026181,0.979940599341334,0.940305373903024,0.984152559810535,0.87792229228475,0.981491194969039,0.98196174804749,0.963632818679716,0.473360935487297,0.882437391527928,0.847569327574847,0.955719576014445,0.385437363165568,0.725588256954116,0.894840362285497,0.758487097831323,0.836467634861866,0.726595161005913,0.694267281753542,0.271207385317153,0.100005436363435,0.360462317794936,0.692015537890684,0.321172129229793,0.264810754095987,0.361936608814617,0.474511936135993,0.514616140412569,0.956728219988569,0.306679526644789,0.330248283878243,0.329054861864799,0.450352742621783,0.235679047688191,0.766619478675627,0.591258869106701,0.702278806608363,0.170988407705866,0.216129182563262,0.970215399181216,0.358030091552039,0.111845474882276,0.746419085920306,0.366172489895815,0.503702510510054,0.291571476513885,0.106388896678972,0.981679174838953,0.816986521717431,0.444638603663331,0.511352274444041,0.963813053375052,0.357807286624615,0.570127413238034,0.392784714867199,0.406016035501956,0.395285464578954,0.281653410777817,0.117457318857468,0.2845024707183,0.1746105713227,0.194456370027775,0.223942008400377,0.278664482280492,0.357544763662618,0.178847126292737,0.413288152761814,0.329529265118073,0.191275741157545,0.214702852071735,0.207998385140891,0.166532483972897,0.337172621088029,0.38080373335509,0.443454831340125,0.259852188213794,0.504188312433863,0.46957228123084,0.614731796924131,0.122812608011176,0.265040223735615,0.895815299341197,0.169593321790916,0.34296544920174,0.318355479073567,0.270507840476448,0.511703065159072,0.702651786043652,0.50600482241583,0.506630796758261,0.582580342126051,0.050457903764398,0.474282340732237,0.472447784175934,0.547131246397087,0.538965829697395,0.393315309935243,0.80961367748253,0.347401288834164
