,cg06674436,cg02691035,cg17766305,cg27324128,cg15858166,cg24068468,cg19301114,cg05647756,cg23930334,cg09227621,target
TARGET-30-PALEVG,0.9885168061051479,0.899981525447212,0.212134281993029,0.336244849892328,0.822427900450361,0.0866270693505701,0.171777767088994,0.8007238302985641,0.192014205735394,0.533486897706377,1
TARGET-30-PAPBJE,0.990905726129882,0.9155490964503871,0.28595585615008695,0.22313499929700603,0.785902316767374,0.0289688687388196,0.21227572954187698,0.7791770162427699,0.0131849224809736,0.606164729398044,1
TARGET-30-PAPRXW,0.984834383121565,0.885546585783713,0.0697825498649524,0.11019190571939802,0.8624676983908459,0.0608549884014765,0.0794515464230014,0.832639863591022,0.0210175313743423,0.5202266946571991,1
TARGET-30-PAPTLY,0.986764831801164,0.7540377305403609,0.33447746359131997,0.15804077397833702,0.7331832712799521,0.0669028118620071,0.11546410711760001,0.8118784896234921,0.016986285196305,0.515399593187049,1
TARGET-30-PAPTMM,0.9839887963129309,0.9601852888877571,0.25007053670311397,0.22696451286470498,0.9271090223608321,0.0765476266444853,0.0724529705359408,0.620620758998232,0.0189938906881502,0.0174162515444867,1
TARGET-30-PAPZYP,0.9886869165565741,0.937994797884487,0.0765076490435824,0.148231465350556,0.910016008514277,0.0728686814238518,0.048879614683433,0.9836247175275721,0.0178684624725435,0.100734793716845,1
TARGET-30-PAPZYZ,0.8702796814488521,0.8793257423694221,0.202966449010647,0.1496817323201,0.8332371560477879,0.0512895260299576,0.0902442139526248,0.8035243656517671,0.0249929710931674,0.0869756587726596,1
TARGET-30-PARIKF,0.989246960732643,0.883212297377723,0.119738781967569,0.27590248101112397,0.772604319381147,0.0275990174408673,0.18814869437410298,0.9455080202600491,0.0194670771599825,0.595217916855441,1
TARGET-30-PARNTS,0.45445860527484,0.3702815834043571,0.42371021697461403,0.629624392019199,0.7258972934976171,0.0831683812701158,0.247589141097898,0.8828380299242741,0.0873636236892159,0.0571699791425482,1
TARGET-30-PARSHT,0.943353060572716,0.8524282794130641,0.43760385138842406,0.279228176465576,0.838417173692868,0.17898240585673297,0.195121277556124,0.7368107774082729,0.29910263900165396,0.24028137597160298,1
TARGET-30-PASSRN,0.986268644926793,0.9377043348147971,0.16210237986963902,0.15532270095838902,0.865862822001746,0.0657222284974052,0.16682097259883,0.273368186413311,0.16726728862978502,0.0356080000269028,1
TARGET-30-PASWYR,0.9902002538105601,0.8882439091611558,0.277451370667193,0.172447956765053,0.787207397401359,0.0339876375232619,0.1225829070548,0.8855525785965408,0.0122376173510406,0.645848447242151,1
TARGET-30-PASXIE,0.9874517807157521,0.957585285824829,0.0836124814894082,0.0862446316574419,0.7750524112596942,0.0598401411727444,0.0985863828917217,0.938251268864186,0.0165582560803686,0.901180084396757,1
TARGET-30-PATDWN,0.986309386200088,0.946218377897604,0.0386132129929387,0.0877167608953817,0.842717776695157,0.0536562068962838,0.0767147292904741,0.117667324411765,0.031052885046743996,0.0151577363277276,1
TARGET-30-PALZRG,0.8041415379114029,0.9305839451290129,0.0789261989646866,0.20445938912530803,0.78172399589226,0.038242032399087,0.132782905843898,0.8535819706009509,0.015993130777657,0.0236079534341018,1
TARGET-30-PAMMXF,0.989354462721524,0.9500708420676859,0.135952851586418,0.14583833058951098,0.947380340099899,0.0241868201400177,0.104699291930925,0.44144587858762896,0.0169814206857988,0.5837918139539511,1
TARGET-30-PAMZGT,0.985583472668716,0.876638818441807,0.255375815130837,0.485901261198585,0.703815071673745,0.147637697580987,0.524464287064849,0.749297626177274,0.669495009649028,0.5846147649363299,1
TARGET-30-PAMZMG,0.983669687495462,0.829695732536611,0.0762476898558034,0.146040624885943,0.671644202229321,0.0893049950831049,0.107077124226446,0.8611117988925971,0.0230212247934442,0.624135593143732,1
TARGET-30-PANUKV,0.9886304258560279,0.965525574702712,0.22550439310199302,0.08596483317012599,0.9064382998964808,0.125274928166513,0.0762298367249254,0.9790105211486271,0.0283843692845928,0.0380358250031243,1
TARGET-30-PAPCTS,0.9882422762692908,0.9607132977787758,0.138896307378787,0.20828203390344396,0.9396690057779251,0.02904467637931,0.15860560756615802,0.95229846152433,0.0170852197239732,0.584908659406865,1
TARGET-30-PAPKWN,0.53530654215217,0.593932810141287,0.21977011928064602,0.32858302348251195,0.48126868959227004,0.0867674401600714,0.30847711233079905,0.6716780197106689,0.0161453387781073,0.0186688278934318,1
TARGET-30-PAPSEI,0.984479965789163,0.8265084729119019,0.0546663645510867,0.146653173083831,0.85427478237822,0.0529306179531243,0.0948146368348063,0.943236774152672,0.0238801119641891,0.6119131299851569,1
TARGET-30-PAPTFZ,0.989742596640436,0.929009995613677,0.0941765337706247,0.161115070847102,0.8666702365469959,0.0401570881585709,0.110102293690127,0.8555715665650161,0.0239151100903444,0.7697952808118922,1
TARGET-30-PAPTIP,0.9785001539876591,0.935696095413657,0.142646479664681,0.12526436313928,0.8798888808033148,0.12296326284223,0.0968237511880612,0.9052942166194291,0.0209829813502867,0.0245441666016819,1
